year_month,year,month,destination_region,origin_country,passengers_total
2011-01-01,2011,1,Central-West,Estados Unidos Da América,9705
2011-01-01,2011,1,Central-West,Portugal,6394
2011-01-01,2011,1,Central-West,Peru,2888
2011-01-01,2011,1,Central-West,Bolívia,500
2011-01-01,2011,1,Central-West,Argentina,368
2011-01-01,2011,1,Central-West,Aruba,367
2011-01-01,2011,1,Central-West,Curaçao,93
2011-01-01,2011,1,North,Estados Unidos Da América,6945
2011-01-01,2011,1,North,Panamá,1623
2011-01-01,2011,1,North,Suriname,1261
2011-01-01,2011,1,North,Venezuela,1097
2011-01-01,2011,1,North,Guiana Francesa,586
2011-01-01,2011,1,North,Colômbia,356
2011-01-01,2011,1,North,Guiana,63
2011-01-01,2011,1,North,República Dominicana,1
2011-01-01,2011,1,North,Argentina,0
2011-01-01,2011,1,North,Aruba,0
2011-01-01,2011,1,North,Cuba,0
2011-01-01,2011,1,North,Ilha De São Martinho,0
2011-01-01,2011,1,North,México,0
2011-01-01,2011,1,North,Peru,0
2011-01-01,2011,1,North,Porto Rico,0
2011-01-01,2011,1,Northeast,Portugal,24410
2011-01-01,2011,1,Northeast,Estados Unidos Da América,5035
2011-01-01,2011,1,Northeast,Espanha,3338
2011-01-01,2011,1,Northeast,Argentina,2799
2011-01-01,2011,1,Northeast,Itália,2281
2011-01-01,2011,1,Northeast,Alemanha,2066
2011-01-01,2011,1,Northeast,Cabo Verde,594
2011-01-01,2011,1,Northeast,Libéria,100
2011-01-01,2011,1,Northeast,Angola,0
2011-01-01,2011,1,Northeast,Guiana Francesa,0
2011-01-01,2011,1,Northeast,Luxemburgo,0
2011-01-01,2011,1,South,Argentina,24826
2011-01-01,2011,1,South,Uruguai,14301
2011-01-01,2011,1,South,Peru,2280
2011-01-01,2011,1,South,Paraguai,1517
2011-01-01,2011,1,South,Chile,1114
2011-01-01,2011,1,South,Alemanha,0
2011-01-01,2011,1,South,Colômbia,0
2011-01-01,2011,1,South,Estados Unidos Da América,0
2011-01-01,2011,1,South,Luxemburgo,0
2011-01-01,2011,1,South,Senegal,0
2011-01-01,2011,1,Southeast,Estados Unidos Da América,166558
2011-01-01,2011,1,Southeast,Argentina,140615
2011-01-01,2011,1,Southeast,França,46626
2011-01-01,2011,1,Southeast,Chile,46268
2011-01-01,2011,1,Southeast,Portugal,36161
2011-01-01,2011,1,Southeast,Espanha,31532
2011-01-01,2011,1,Southeast,Uruguai,31142
2011-01-01,2011,1,Southeast,Alemanha,26527
2011-01-01,2011,1,Southeast,Peru,22647
2011-01-01,2011,1,Southeast,Panamá,20548
2011-01-01,2011,1,Southeast,Reino Unido,18163
2011-01-01,2011,1,Southeast,Itália,16290
2011-01-01,2011,1,Southeast,Colômbia,15946
2011-01-01,2011,1,Southeast,Paraguai,15569
2011-01-01,2011,1,Southeast,África Do Sul,10704
2011-01-01,2011,1,Southeast,Bolívia,9540
2011-01-01,2011,1,Southeast,México,9526
2011-01-01,2011,1,Southeast,Holanda,8816
2011-01-01,2011,1,Southeast,Canadá,8815
2011-01-01,2011,1,Southeast,Emirados Árabes Unidos,8087
2011-01-01,2011,1,Southeast,Suíça,6708
2011-01-01,2011,1,Southeast,Qatar,4331
2011-01-01,2011,1,Southeast,Angola,3829
2011-01-01,2011,1,Southeast,Israel,3437
2011-01-01,2011,1,Southeast,Turquia,3293
2011-01-01,2011,1,Southeast,Venezuela,3015
2011-01-01,2011,1,Southeast,Coreia Do Sul,1389
2011-01-01,2011,1,Southeast,República Dominicana,1368
2011-01-01,2011,1,Southeast,China,908
2011-01-01,2011,1,Southeast,Barbados,800
2011-01-01,2011,1,Southeast,Equador,0
2011-01-01,2011,1,Southeast,Luxemburgo,0
2011-01-01,2011,1,Southeast,Porto Rico,0
2011-01-01,2011,1,Southeast,Senegal,0
2011-02-01,2011,2,Central-West,Estados Unidos Da América,6638
2011-02-01,2011,2,Central-West,Portugal,4920
2011-02-01,2011,2,Central-West,Peru,1957
2011-02-01,2011,2,Central-West,Bolívia,417
2011-02-01,2011,2,Central-West,Argentina,310
2011-02-01,2011,2,Central-West,Aruba,251
2011-02-01,2011,2,Central-West,Venezuela,145
2011-02-01,2011,2,Central-West,Curaçao,97
2011-02-01,2011,2,Central-West,Paraguai,0
2011-02-01,2011,2,North,Estados Unidos Da América,5002
2011-02-01,2011,2,North,Venezuela,1366
2011-02-01,2011,2,North,Panamá,1253
2011-02-01,2011,2,North,Suriname,984
2011-02-01,2011,2,North,Colômbia,499
2011-02-01,2011,2,North,Guiana Francesa,477
2011-02-01,2011,2,North,Ilha De São Martinho,30
2011-02-01,2011,2,North,Guiana,15
2011-02-01,2011,2,North,Argentina,1
2011-02-01,2011,2,North,República Dominicana,1
2011-02-01,2011,2,North,Cuba,0
2011-02-01,2011,2,North,México,0
2011-02-01,2011,2,Northeast,Portugal,17147
2011-02-01,2011,2,Northeast,Espanha,4591
2011-02-01,2011,2,Northeast,Estados Unidos Da América,3996
2011-02-01,2011,2,Northeast,Argentina,3151
2011-02-01,2011,2,Northeast,Alemanha,1766
2011-02-01,2011,2,Northeast,Itália,1255
2011-02-01,2011,2,Northeast,Cabo Verde,702
2011-02-01,2011,2,Northeast,Ilhas Canárias,0
2011-02-01,2011,2,Northeast,Luxemburgo,0
2011-02-01,2011,2,South,Argentina,17824
2011-02-01,2011,2,South,Uruguai,10663
2011-02-01,2011,2,South,Peru,2929
2011-02-01,2011,2,South,Chile,941
2011-02-01,2011,2,South,Paraguai,861
2011-02-01,2011,2,South,Alemanha,0
2011-02-01,2011,2,South,Colômbia,0
2011-02-01,2011,2,South,Estados Unidos Da América,0
2011-02-01,2011,2,South,Holanda,0
2011-02-01,2011,2,South,Luxemburgo,0
2011-02-01,2011,2,South,Senegal,0
2011-02-01,2011,2,Southeast,Estados Unidos Da América,133343
2011-02-01,2011,2,Southeast,Argentina,93792
2011-02-01,2011,2,Southeast,França,39559
2011-02-01,2011,2,Southeast,Chile,36712
2011-02-01,2011,2,Southeast,Espanha,27596
2011-02-01,2011,2,Southeast,Portugal,26431
2011-02-01,2011,2,Southeast,Alemanha,24833
2011-02-01,2011,2,Southeast,Uruguai,22043
