year,destination_region,origin_country_grouped,passengers_total
2011,Central-West,Argentina,2438
2011,Central-West,Estados Unidos Da América,106425
2011,Central-West,Other,41209
2011,Central-West,Panamá,10981
2011,Central-West,Portugal,75350
2011,Central-West,República Dominicana,142
2011,North,Estados Unidos Da América,63429
2011,North,Guiana Francesa,6487
2011,North,Other,2123
2011,North,Panamá,17637
2011,North,Suriname,14971
2011,North,Venezuela,2753
2011,Northeast,Alemanha,30052
2011,Northeast,Argentina,25800
2011,Northeast,Espanha,51578
2011,Northeast,Estados Unidos Da América,52634
2011,Northeast,Other,26724
2011,Northeast,Portugal,256498
2011,South,Argentina,213807
2011,South,Chile,18033
2011,South,Other,11508
2011,South,Panamá,11629
2011,South,Peru,33022
2011,South,Portugal,25529
2011,South,Uruguai,106429
2011,Southeast,Argentina,1192547
2011,Southeast,Chile,414332
2011,Southeast,Espanha,380188
2011,Southeast,Estados Unidos Da América,1790628
2011,Southeast,França,508648
2011,Southeast,Other,2824078
2011,Southeast,Portugal,410112
2012,Central-West,Argentina,2974
2012,Central-West,Estados Unidos Da América,125649
2012,Central-West,França,301
2012,Central-West,Other,24229
2012,Central-West,Panamá,30115
2012,Central-West,Portugal,76756
2012,Central-West,República Dominicana,0
2012,North,Estados Unidos Da América,78256
2012,North,Guiana Francesa,6381
2012,North,Other,2759
2012,North,Panamá,20164
2012,North,Suriname,18167
2012,North,Venezuela,146
2012,Northeast,Alemanha,31700
2012,Northeast,Argentina,424
2012,Northeast,Espanha,36564
2012,Northeast,Estados Unidos Da América,49841
2012,Northeast,Other,35743
2012,Northeast,Panamá,7794
2012,Northeast,Portugal,261766
2012,South,Argentina,210045
2012,South,Chile,22391
2012,South,Other,7631
2012,South,Panamá,34999
2012,South,Peru,38115
2012,South,Portugal,43580
2012,South,Uruguai,95552
2012,Southeast,Argentina,1227852
2012,Southeast,Chile,522808
2012,Southeast,Espanha,367955
2012,Southeast,Estados Unidos Da América,1960328
2012,Southeast,França,486472
2012,Southeast,Other,3064623
2012,Southeast,Portugal,419446
2013,Central-West,Argentina,9971
2013,Central-West,Estados Unidos Da América,136803
2013,Central-West,França,0
2013,Central-West,Other,12362
2013,Central-West,Panamá,41858
2013,Central-West,Portugal,76016
2013,Central-West,República Dominicana,0
2013,North,Estados Unidos Da América,86458
2013,North,Guiana Francesa,10253
2013,North,Other,2390
2013,North,Panamá,20999
2013,North,Suriname,19083
2013,North,Venezuela,144
2013,Northeast,Alemanha,29669
2013,Northeast,Argentina,12435
2013,Northeast,Espanha,40184
2013,Northeast,Estados Unidos Da América,64355
2013,Northeast,Other,37235
2013,Northeast,Panamá,16901
2013,Northeast,Portugal,261311
2013,South,Argentina,192478
2013,South,Chile,2053
2013,South,Other,7431
2013,South,Panamá,36832
2013,South,Peru,42297
2013,South,Portugal,43450
2013,South,Uruguai,35261
2013,Southeast,Argentina,1230512
2013,Southeast,Chile,553110
2013,Southeast,Espanha,346445
2013,Southeast,Estados Unidos Da América,2246228
2013,Southeast,França,483064
2013,Southeast,Other,3245983
2013,Southeast,Portugal,412219
2014,Central-West,Argentina,21711
2014,Central-West,Estados Unidos Da América,144660
2014,Central-West,França,25967
2014,Central-West,Other,2742
2014,Central-West,Panamá,55417
2014,Central-West,Portugal,69738
2014,Central-West,República Dominicana,76
2014,North,Estados Unidos Da América,100633
2014,North,Guiana Francesa,8968
2014,North,Other,4715
2014,North,Panamá,24290
2014,North,Portugal,21948
2014,North,Suriname,15841
2014,North,Venezuela,2685
2014,Northeast,Alemanha,29072
2014,Northeast,Argentina,5622
2014,Northeast,Espanha,40629
2014,Northeast,Estados Unidos Da América,68884
2014,Northeast,Other,45187
2014,Northeast,Panamá,19293
2014,Northeast,Portugal,263768
2014,South,Argentina,189905
2014,South,Chile,4771
2014,South,Other,57951
2014,South,Panamá,45260
2014,South,Peru,70346
2014,South,Portugal,48016
2014,South,Uruguai,38529
2014,Southeast,Argentina,1251844
2014,Southeast,Chile,597435
2014,Southeast,Espanha,416389
2014,Southeast,Estados Unidos Da América,2372681
2014,Southeast,França,467650
2014,Southeast,Other,3490087
2014,Southeast,Portugal,405111
2015,Central-West,Argentina,39631
2015,Central-West,Estados Unidos Da América,160398
2015,Central-West,França,32181
2015,Central-West,Other,8367
2015,Central-West,Panamá,53839
2015,Central-West,Portugal,62212
2015,Central-West,República Dominicana,2750
2015,North,Estados Unidos Da América,76287
2015,North,Guiana Francesa,7171
2015,North,Other,8335
2015,North,Panamá,23062
2015,North,Portugal,34138
2015,North,Suriname,16149
2015,North,Venezuela,10203
2015,Northeast,Alemanha,32202
2015,Northeast,Argentina,71990
2015,Northeast,Espanha,32543
2015,Northeast,Estados Unidos Da América,68077
2015,Northeast,Other,25829
2015,Northeast,Panamá,18039
2015,Northeast,Portugal,251941
2015,South,Argentina,188596
2015,South,Chile,13645
2015,South,Other,51914
2015,South,Panamá,41356
2015,South,Peru,68118
2015,South,Portugal,45917
2015,South,Uruguai,20733
2015,Southeast,Argentina,1257656
2015,Southeast,Chile,692928
2015,Southeast,Espanha,452740
2015,Southeast,Estados Unidos Da América,2372274
2015,Southeast,França,459394
2015,Southeast,Other,3475725
2015,Southeast,Portugal,395736
2016,Central-West,Argentina,56278
2016,Central-West,Estados Unidos Da América,99081
2016,Central-West,França,20027
2016,Central-West,Other,6495
